"Model","RMSE","MAE","R2","MAPE","Rank"
"KNN",0.934793549855476,0.510927946428571,0.206088207020986,77.3533143242124,1
"Neural_Network",0.949941311905085,0.517307418002782,0.18015002240373,79.4782398817808,2
"Decision_Tree",0.956743903219703,0.531839520263415,0.168365982127583,83.4135460190289,3
"Linear_Regression",0.96027201459463,0.520144923521966,0.162221166672194,80.6451668544085,4
"SVM_Epsilon",0.996588670498398,0.459461406440168,0.0976547628324873,49.3752429108427,5
